Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
143,@Aminvodkabillty,0,0,0,4,0.395349,change,#balinotforsale
144,@AndrianiSisilia,23,0,0,1,1,change,#balinotforsale
145,@AnindyaKirana_,23,0,0,1,1,change,#balinotforsale
146,@AnnisaNandaa,23,0,0,1,1,change,#balinotforsale
147,@Ardhany_Teguh,0,0,0,4,0.395349,change,#balinotforsale
148,@Astynastitii,19,0.005176,0,1,1,change,#balinotforsale
149,@Baguz_ToeT,29,0,0,1,1,change,#balinotforsale
150,@BayuKrsnPutra,0,0,0,4,0.395349,change,#balinotforsale
151,@BillyDwiDharma,30,0,0,1,1,change,#balinotforsale
152,@CahyaPurnami,31,0,0,1,1,change,#balinotforsale
153,@Coco_Parsua,32,0,0,1,1,change,#balinotforsale
154,@CopokTBH,0,0,0,4,0.395349,change,#balinotforsale
155,@DEE_YUDI,0,0,0,4,0.395349,change,#balinotforsale
156,@DeDe_Suyasa,33,0,0,1,1,change,#balinotforsale
157,@DerylFF,0,0,0,4,0.395349,change,#balinotforsale
158,@DiplomasiTotal,2,0,0,4,0.34,change,#balinotforsale
159,@DuviDevi,23,0,0,1,1,change,#balinotforsale
160,@EL_hafe,0,0,0,4,0.395349,change,#balinotforsale
161,@ETEngal,34,0,0,1,1,change,#balinotforsale
162,@Ega_PopiesMuda,0,0,0,4,0.395349,change,#balinotforsale
163,@ElvaffiatiRB,35,0,0,1,1,change,#balinotforsale
164,@FakhruoutSIDer,0,0,0,4,0.395349,change,#balinotforsale
165,@FitriaDhyana,2,0,0,4,0.34,change,#balinotforsale
166,@Hannyayudiann,36,0,0,1,1,change,#balinotforsale
167,@Henky_Vengenz,37,0,0,1,1,change,#balinotforsale
168,@Intanazzahraaa,38,0,0,1,1,change,#balinotforsale
169,@Ipinpsycho13,0,0,0,4,0.395349,change,#balinotforsale
170,@Jaque_Leto,0,0,0,4,0.395349,change,#balinotforsale
171,@Jon_Ketinx,0,0,0,4,0.395349,change,#balinotforsale
172,@MHEGA19,0,0,0,4,0.395349,change,#balinotforsale
173,@MSolehudin8,23,0,0,1,1,change,#balinotforsale
174,@Made22indra,1,0,0,5,0.314815,change,#balinotforsale
175,@MadeAgus_,2,0,0,5,0.283333,change,#balinotforsale
176,@ManggarSamudera,0,0,0,4,0.395349,change,#balinotforsale
177,@Melldyz,39,0,0,1,1,change,#balinotforsale
178,@Mia_Mahayanti,40,0,0,1,1,change,#balinotforsale
179,@MochPanji_,41,0,0,4,0.409091,change,#balinotforsale
180,@Nachosfriend,17,0,0,2,0.666667,change,#balinotforsale
181,@Nadiaalfnauba,23,0,0,1,1,change,#balinotforsale
182,@Nanda936Stefani,23,0,0,1,1,change,#balinotforsale
183,@NaraEgy_GSM,0,0,0,4,0.395349,change,#balinotforsale
184,@OSD_JAYAPURA,0,0,0,4,0.395349,change,#balinotforsale
185,@OSDsinatras13,0,0,0,4,0.395349,change,#balinotforsale
186,@ObeyBilang,0,0,0,4,0.395349,change,#balinotforsale
187,@OlinHindu,0,0,0,4,0.395349,change,#balinotforsale
188,@POISON_AND_ROSE,42,0,0,1,1,change,#balinotforsale
189,@POSTMENbali,2,0.003168,17,4,0.404762,change,#balinotforsale
190,@Poppies_Jember,2,0,0,5,0.278689,change,#balinotforsale
191,@Pratiwifenny15,23,0,0,1,1,change,#balinotforsale
192,@Radic_co,1,0.08031,0,4,0.421053,change,#balinotforsale
193,@Rara_maiRaa,23,0,0,1,1,change,#balinotforsale
194,@Reeyangel,25,0,0,1,1,change,#balinotforsale
195,@SamsulMabbitt,0,0,0,4,0.395349,change,#balinotforsale
196,@San_Rocky,43,0,0,4,0.409091,change,#balinotforsale
197,@Sandy_SIDersORC,0,0,0,4,0.395349,change,#balinotforsale
198,@ShantiLadyRose,44,0,0,5,0.306452,change,#balinotforsale
199,@SugianJaya,1,0,0,1,1,change,#balinotforsale
200,@Suhartinah2,23,0,0,1,1,change,#balinotforsale
201,@Swanditha_,0,0,0,4,0.395349,change,#balinotforsale
202,@Swastika_OSD,0,0,0,4,0.395349,change,#balinotforsale
203,@TOTOTOENK,0,0,0,4,0.395349,change,#balinotforsale
204,@TengkuArifH,24,0,0,1,1,change,#balinotforsale
205,@TheEdwards,2,0,0,4,0.34,change,#balinotforsale
206,@TiioKecil_,19,0.005176,0,1,1,change,#balinotforsale
207,@Tkw30_,23,0,0,1,1,change,#balinotforsale
208,@Vindadewy,23,0,0,1,1,change,#balinotforsale
209,@Violitaa__,23,0,0,1,1,change,#balinotforsale
210,@VitriiYuningsih,23,0,0,1,1,change,#balinotforsale
211,@VitryaPurnama,2,0,0,4,0.34,change,#balinotforsale
212,@Vmeidiviesti,23,0,0,1,1,change,#balinotforsale
213,@Willy_Kurnia,0,0,0,4,0.395349,change,#balinotforsale
214,@YohanASU_,45,0,0,1,1,change,#balinotforsale
215,@_FirmanSurayuda,46,0,0,1,1,change,#balinotforsale
216,@__Anggy,23,0,0,1,1,change,#balinotforsale
217,@abuybento,0,0,0,4,0.395349,change,#balinotforsale
218,@adeyeda,0,0,0,4,0.395349,change,#balinotforsale
219,@agungbrother,0,0,0,4,0.395349,change,#balinotforsale
220,@ahmadfinchy13,0,0,0,4,0.395349,change,#balinotforsale
221,@ahmadoyon,0,0,0,4,0.395349,change,#balinotforsale
222,@ahonk_fuck,47,0,0,4,0.409091,change,#balinotforsale
223,@alvitakss,23,0,0,1,1,change,#balinotforsale
