Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
184,@igedeleorendraa,2,0,0,1,1,change,#balitolakreklamasi
185,@ivanhidayat777,13,0,0,3,0.5,change,#balitolakreklamasi
186,@jojochristopher,2,0,0,1,1,change,#balitolakreklamasi
187,@ngeden0,2,0,0,1,1,change,#balitolakreklamasi
188,@redmundo99,13,0,0,3,0.5,change,#balitolakreklamasi
189,@rudy_schizo,0,0,0,1,1,change,#balitolakreklamasi
190,@sambalado94,0,0,0,1,1,change,#balitolakreklamasi
191,@wellwellwell69,21,0,0,1,1,change,#balitolakreklamasi
192,@wy_andi,2,0,0,1,1,change,#balitolakreklamasi
193,@yoan_setiadi,2,0,0,1,1,change,#balitolakreklamasi
194,@yogik04,2,0,0,1,1,change,#balitolakreklamasi
195,@jokowi,3,0.174259,0,0,0,change,#balitolakreklamasi
196,@SBYudhoyono,6,0.37704,0,0,0,change,#balitolakreklamasi
197,@jokowi_do2,0,0.833236,0,0,0,change,#balitolakreklamasi
198,@forbali13,2,1,0,0,0,change,#balitolakreklamasi
199,@susipudjiastuti,3,0.146913,0,0,0,change,#balitolakreklamasi
200,@SitiNurbayaLHK,3,0.015626,0,0,0,change,#balitolakreklamasi
201,@AniYudhoyono,0,0.003906,0,0,0,change,#balitolakreklamasi
202,@ForumHijau_ID,4,0.003906,0,0,0,change,#balitolakreklamasi
203,@Gendovara,21,0.003906,0,0,0,change,#balitolakreklamasi
204,@Dandhy_Laksono,21,0.003906,0,0,0,change,#balitolakreklamasi
205,@SID_Official,21,0.019532,0,0,0,change,#balitolakreklamasi
206,@Sudirmanasun,21,0.003906,0,0,0,change,#balitolakreklamasi
207,@WalhiBali,21,0.003906,0,0,0,change,#balitolakreklamasi
208,@MentionsMinion,5,0.003906,0,0,0,change,#balitolakreklamasi
209,@SHILVESTERbali,8,0.015626,0,0,0,change,#balitolakreklamasi
210,@NotesSeseorang,9,0.007813,0,0,0,change,#balitolakreklamasi
211,@sbyudhoyono,7,0.003906,0,0,0,change,#balitolakreklamasi
212,@cristiano,7,0.003906,0,0,0,change,#balitolakreklamasi
213,@Metro_TV,19,0.023739,0,0,0,change,#balitolakreklamasi
214,@BaleBengongpic,6,0.007813,0,0,0,change,#balitolakreklamasi
215,@susipudjiastutipic,3,0.131287,0,0,0,change,#balitolakreklamasi
216,@Moko_Ke,3,0.003906,0,0,0,change,#balitolakreklamasi
217,@kurawa,10,0.019833,0,0,0,change,#balitolakreklamasi
218,@Edo_Bundel,21,0.003906,0,0,0,change,#balitolakreklamasi
219,@Infobencana,21,0.003906,0,0,0,change,#balitolakreklamasi
220,@kompascom,1,0.003906,0,0,0,change,#balitolakreklamasi
221,@Jokowi_do2,11,0.003906,0,0,0,change,#balitolakreklamasi
222,@manr_angga,12,0.003906,0,0,0,change,#balitolakreklamasi
223,@An_Tarigan,21,0.003906,0,0,0,change,#balitolakreklamasi
224,@MongabayID,21,0.003906,0,0,0,change,#balitolakreklamasi
225,@Twice_Bali,2,0.143044,0,0,0,change,#balitolakreklamasi
226,@GlennFredly,3,0.127381,0,0,0,change,#balitolakreklamasi
227,@mangku_pastika,3,0.003906,0,0,0,change,#balitolakreklamasi
228,@Cristiano,2,0.007813,0,0,0,change,#balitolakreklamasi
229,@persakademika,2,0.003906,0,0,0,change,#balitolakreklamasi
230,@cumannanya,14,0.003906,0,0,0,change,#balitolakreklamasi
231,@slankdotcom,10,0.003906,0,0,0,change,#balitolakreklamasi
232,@ForBALI13pic,3,0.007813,0,0,0,change,#balitolakreklamasi
233,@detikcom,15,0.003906,0,0,0,change,#balitolakreklamasi
234,@JRX_SIDpic,19,0.015926,0,0,0,change,#balitolakreklamasi
235,@SitiNurbayaLHKpic,3,0.003906,0,0,0,change,#balitolakreklamasi
236,@ForBali13,21,0.003906,0,0,0,change,#balitolakreklamasi
237,@GreenpeaceID,21,0.003906,0,0,0,change,#balitolakreklamasi
238,@infobencana,1,0.007813,0,0,0,change,#balitolakreklamasi
239,@iwanfals,1,0.003906,0,0,0,change,#balitolakreklamasi
240,@gendovarapic,3,0.007813,0,0,0,change,#balitolakreklamasi
241,@forbali13pic,19,0.019833,0,0,0,change,#balitolakreklamasi
242,@NosstressBali,3,0.127381,0,0,0,change,#balitolakreklamasi
243,@Walhinasional,21,0.003906,0,0,0,change,#balitolakreklamasi
244,@commaditya,17,0.003906,0,0,0,change,#balitolakreklamasi
245,@ForBALI13https,3,0.003906,0,0,0,change,#balitolakreklamasi
246,@PDI_Perjuangan,1,0.003906,0,0,0,change,#balitolakreklamasi
247,@Radic_co,3,0.127381,0,0,0,change,#balitolakreklamasi
248,@ucok_olok,13,0.337824,0,0,0,change,#balitolakreklamasi
249,@WalhiNasional,21,0.003906,0,0,0,change,#balitolakreklamasi
250,@Walhibali,21,0.003906,0,0,0,change,#balitolakreklamasi
251,@AskMinion,20,0.003906,0,0,0,change,#balitolakreklamasi
252,@KPK_RI,3,0.003906,0,0,0,change,#balitolakreklamasi
253,@PoldaBali,3,0.003906,0,0,0,change,#balitolakreklamasi
254,@ridhohafiedz,10,0.003906,0,0,0,change,#balitolakreklamasi
255,@Pak_JK,1,0.003906,0,0,0,change,#balitolakreklamasi
256,@andrinof_a_ch,1,0.003906,0,0,0,change,#balitolakreklamasi
