topic,term,beta,sumber_data,kasus
3,moda transportasi,0.0022702178772510836,petisi_gojek,gojek
1,nice app,0.0035580706965090275,playsotore_customer,gojek
1,fitur chat,0.0029872049694396607,playsotore_customer,gojek
1,chat driver,0.0027351606464450485,playsotore_customer,gojek
1,user friendly,0.0025017199506239913,playsotore_customer,gojek
1,kustomer service,0.0024002875816617614,playsotore_customer,gojek
1,pakai gopay,0.0021947135129490257,playsotore_customer,gojek
1,update terbaru,0.0015189013985931414,playsotore_customer,gojek
1,terima kasih,0.0014626899273766268,playsotore_customer,gojek
1,aplikasi gojek,0.0014340066777308947,playsotore_customer,gojek
1,pakai gojek,0.0014295542574994289,playsotore_customer,gojek
1,driver driver,0.0013402071164057147,playsotore_customer,gojek
1,tolong diperbaiki,0.001306389561442875,playsotore_customer,gojek
1,easy helpful,0.0012508543174639306,playsotore_customer,gojek
1,driver gojek,0.001161512834218285,playsotore_customer,gojek
1,helpful apps,0.001072165693013888,playsotore_customer,gojek
2,versi terbaru,0.005529169650264958,playsotore_customer,gojek
2,update versi,0.0034853526354636957,playsotore_customer,gojek
2,anak bangsa,0.0034312206109364416,playsotore_customer,gojek
2,terima kasih,0.002998507624173291,playsotore_customer,gojek
2,habis update,0.0029093757660711753,playsotore_customer,gojek
2,tolong diperbaiki,0.0026212034026393037,playsotore_customer,gojek
2,karya anak,0.0024146868397369,playsotore_customer,gojek
2,saldo gopay,0.00211343133439678,playsotore_customer,gojek
2,suka error,0.0016185067626849712,playsotore_customer,gojek
2,server busy,0.0016185067535712638,playsotore_customer,gojek
2,fitur chat,0.0015369950216245851,playsotore_customer,gojek
2,maya account,0.0014360790419403163,playsotore_customer,gojek
2,user friendly,0.0013715316896608836,playsotore_customer,gojek
2,update app,0.001356680932840304,playsotore_customer,gojek
2,update update,0.0012705382012854806,playsotore_customer,gojek
3,update terbaru,0.004050466302542021,playsotore_customer,gojek
3,life easier,0.002690879360391252,playsotore_customer,gojek
3,terima kasih,0.0025174749550670107,playsotore_customer,gojek
3,maya life,0.00225685138395713,playsotore_customer,gojek
3,love app,0.0017360511995414172,playsotore_customer,gojek
3,tolong diperbaiki,0.0016703086035755803,playsotore_customer,gojek
3,nice apps,0.0016492486402397994,playsotore_customer,gojek
3,mahal banget,0.0016492483290231363,playsotore_customer,gojek
3,titik penjemputan,0.0014732387507828135,playsotore_customer,gojek
3,update aplikasi,0.0014531697453274274,playsotore_customer,gojek
3,helpful easy,0.0013888408021991477,playsotore_customer,gojek
3,aplikasi update,0.0013793620913758406,playsotore_customer,gojek
3,lokasi penjemputan,0.0013346974695151795,playsotore_customer,gojek
3,harga mahal,0.0012352732998739012,playsotore_customer,gojek
3,pakai gopay,0.0012152358401766948,playsotore_customer,gojek
4,aplikasi gojek,0.0034137172161121322,playsotore_customer,gojek
4,helpful app,0.002848244834477583,playsotore_customer,gojek
4,update aplikasi,0.0020989063303165404,playsotore_customer,gojek
4,pakai gojek,0.001750686974140836,playsotore_customer,gojek
