kasus,sumber_data,term,value,eksplorasi,topic
gojek,petisi_gojek,nyaman aman,0.003488140081181101,topicmodelling,2
gojek,petisi_gojek,driver gojek,0.0026161050608862423,topicmodelling,2
gojek,petisi_gojek,online bantu,0.002616105060881093,topicmodelling,2
gojek,petisi_gojek,transportasi berbasis,0.0025455360981984734,topicmodelling,2
gojek,petisi_gojek,gojek solo,0.002421591520001501,topicmodelling,2
gojek,petisi_gojek,gojek bermanfaat,0.0023253754524573855,topicmodelling,2
gojek,petisi_gojek,gojek purwokerto,0.0020347483806908706,topicmodelling,2
gojek,petisi_gojek,berhak memilih,0.002034748380690773,topicmodelling,2
gojek,petisi_gojek,transportasi online,0.018427641129876868,topicmodelling,3
gojek,petisi_gojek,angkutan online,0.006585986318242358,topicmodelling,3
gojek,petisi_gojek,gojek bantu,0.0048894636984883,topicmodelling,3
gojek,petisi_gojek,online bantu,0.004740451245258491,topicmodelling,3
gojek,petisi_gojek,jasa transportasi,0.0035673023988966857,topicmodelling,3
gojek,petisi_gojek,dukung gojek,0.003552713768117215,topicmodelling,3
gojek,petisi_gojek,menandatangani petisi,0.0030185770625280276,topicmodelling,3
gojek,petisi_gojek,supir angkot,0.003018577062526821,topicmodelling,3
gojek,petisi_gojek,aman nyaman,0.003018577062526623,topicmodelling,3
gojek,petisi_gojek,alat transportasi,0.0030185770625262903,topicmodelling,3
gojek,petisi_gojek,kemajuan teknologi,0.002744160965934359,topicmodelling,3
gojek,petisi_gojek,mata pencaharian,0.0027372579530725934,topicmodelling,3
gojek,petisi_gojek,berbasis online,0.0025261771756789854,topicmodelling,3
gojek,petisi_gojek,pengguna jasa,0.0024684599941128464,topicmodelling,3
gojek,petisi_gojek,moda transportasi,0.0022702178772510836,topicmodelling,3
gojek,playstore,nice app,0.0035580706965090275,topicmodelling,1
gojek,playstore,fitur chat,0.0029872049694396607,topicmodelling,1
gojek,playstore,chat driver,0.0027351606464450485,topicmodelling,1
gojek,playstore,user friendly,0.0025017199506239913,topicmodelling,1
gojek,playstore,kustomer service,0.0024002875816617614,topicmodelling,1
gojek,playstore,pakai gopay,0.0021947135129490257,topicmodelling,1
gojek,playstore,update terbaru,0.0015189013985931414,topicmodelling,1
gojek,playstore,terima kasih,0.0014626899273766268,topicmodelling,1
gojek,playstore,aplikasi gojek,0.0014340066777308947,topicmodelling,1
gojek,playstore,pakai gojek,0.0014295542574994289,topicmodelling,1
gojek,playstore,driver driver,0.0013402071164057147,topicmodelling,1
gojek,playstore,tolong diperbaiki,0.001306389561442875,topicmodelling,1
gojek,playstore,easy helpful,0.0012508543174639306,topicmodelling,1
gojek,playstore,driver gojek,0.001161512834218285,topicmodelling,1
gojek,playstore,helpful apps,0.001072165693013888,topicmodelling,1
gojek,playstore,versi terbaru,0.005529169650264958,topicmodelling,2
gojek,playstore,update versi,0.0034853526354636957,topicmodelling,2
gojek,playstore,anak bangsa,0.0034312206109364416,topicmodelling,2
gojek,playstore,terima kasih,0.002998507624173291,topicmodelling,2
gojek,playstore,habis update,0.0029093757660711753,topicmodelling,2
gojek,playstore,tolong diperbaiki,0.0026212034026393037,topicmodelling,2
gojek,playstore,karya anak,0.0024146868397369,topicmodelling,2
gojek,playstore,saldo gopay,0.00211343133439678,topicmodelling,2
gojek,playstore,suka error,0.0016185067626849712,topicmodelling,2
gojek,playstore,server busy,0.0016185067535712638,topicmodelling,2
gojek,playstore,fitur chat,0.0015369950216245851,topicmodelling,2
gojek,playstore,maya account,0.0014360790419403163,topicmodelling,2
gojek,playstore,user friendly,0.0013715316896608836,topicmodelling,2
gojek,playstore,update app,0.001356680932840304,topicmodelling,2
gojek,playstore,update update,0.0012705382012854806,topicmodelling,2
gojek,playstore,update terbaru,0.004050466302542021,topicmodelling,3
gojek,playstore,life easier,0.002690879360391252,topicmodelling,3
gojek,playstore,terima kasih,0.0025174749550670107,topicmodelling,3
gojek,playstore,maya life,0.00225685138395713,topicmodelling,3
gojek,playstore,love app,0.0017360511995414172,topicmodelling,3
gojek,playstore,tolong diperbaiki,0.0016703086035755803,topicmodelling,3
gojek,playstore,nice apps,0.0016492486402397994,topicmodelling,3
gojek,playstore,mahal banget,0.0016492483290231363,topicmodelling,3
gojek,playstore,titik penjemputan,0.0014732387507828135,topicmodelling,3
gojek,playstore,update aplikasi,0.0014531697453274274,topicmodelling,3
gojek,playstore,helpful easy,0.0013888408021991477,topicmodelling,3
gojek,playstore,aplikasi update,0.0013793620913758406,topicmodelling,3
gojek,playstore,lokasi penjemputan,0.0013346974695151795,topicmodelling,3
gojek,playstore,harga mahal,0.0012352732998739012,topicmodelling,3
gojek,playstore,pakai gopay,0.0012152358401766948,topicmodelling,3
gojek,playstore,aplikasi gojek,0.0034137172161121322,topicmodelling,4
gojek,playstore,helpful app,0.002848244834477583,topicmodelling,4
gojek,playstore,update aplikasi,0.0020989063303165404,topicmodelling,4
gojek,playstore,pakai gojek,0.001750686974140836,topicmodelling,4
gojek,playstore,gojek bantu,0.0016897176619676448,topicmodelling,4
gojek,playstore,kustomer service,0.001575618276726753,topicmodelling,4
gojek,playstore,unable process,0.0015710106086358655,topicmodelling,4
gojek,playstore,mohon diperbaiki,0.0015164265684781818,topicmodelling,4
gojek,playstore,app helpful,0.0014880838932890528,topicmodelling,4
gojek,playstore,posisi driver,0.0014769351036599617,topicmodelling,4
gojek,playstore,fitur chat,0.0012859262995592268,topicmodelling,4
gojek,playstore,terima kasih,0.001262831399102719,topicmodelling,4
gojek,playstore,pakai gopay,0.0011458050303889086,topicmodelling,4
gojek,playstore,gojek app,0.001132802495553857,topicmodelling,4
gojek,playstore,application helpful,0.0010504121844844999,topicmodelling,4
gojek,playsotore_driver,fitur chat,0.03398593803727709,topicmodelling,1
gojek,playsotore_driver,fake gps,0.0111126973415108,topicmodelling,1
gojek,playsotore_driver,tambahkan fitur,0.006587539222587263,topicmodelling,1
gojek,playsotore_driver,tambahin fitur,0.005573657326065071,topicmodelling,1
gojek,playsotore_driver,force close,0.004304754761416118,topicmodelling,1
gojek,playsotore_driver,tolong diperbaiki,0.004053872280227764,topicmodelling,1
gojek,playsotore_driver,chat app,0.003040404210232574,topicmodelling,1
gojek,playsotore_driver,pakai fake,0.00298517799259802,topicmodelling,1
gojek,playsotore_driver,orderan sepi,0.0026273630514946334,topicmodelling,1
gojek,playsotore_driver,tolong fitur,0.002603421364068374,topicmodelling,1
gojek,playsotore_driver,chat chat,0.002533670175193813,topicmodelling,1
gojek,playsotore_driver,tolong tambahkan,0.002533670169963725,topicmodelling,1
gojek,playsotore_driver,chat kustomer,0.0023921121523323386,topicmodelling,1
gojek,playsotore_driver,terima kasih,0.0022997810360846365,topicmodelling,1
gojek,playsotore_driver,aplikasi chat,0.002280042524376021,topicmodelling,1
gojek,playsotore_driver,orderan masuk,0.007040765066466246,topicmodelling,2
gojek,playsotore_driver,anak bangsa,0.006291077524197975,topicmodelling,2
gojek,playsotore_driver,karya anak,0.004830793603883574,topicmodelling,2
gojek,playsotore_driver,app chat,0.00406765035462335,topicmodelling,2
gojek,playsotore_driver,merugikan driver,0.003400347931825274,topicmodelling,2
gojek,playsotore_driver,fitur app,0.0032925841833238096,topicmodelling,2
gojek,playsotore_driver,tolong diperbaiki,0.0027967753494801215,topicmodelling,2
gojek,playsotore_driver,fitur chatnya,0.002759326057130167,topicmodelling,2
gojek,playsotore_driver,driver kustomer,0.002732088597391372,topicmodelling,2
gojek,playsotore_driver,chat driver,0.0024491031849222843,topicmodelling,2
gojek,playsotore_driver,driver gojek,0.002334817183088276,topicmodelling,2
gojek,playsotore_driver,fake gps,0.00232384604030759,topicmodelling,2
gojek,playsotore_driver,koneksi internet,0.0022882707395493686,topicmodelling,2
gojek,playsotore_driver,update versi,0.002270190664858617,topicmodelling,2
gojek,playsotore_driver,performa turun,0.0020340184359677266,topicmodelling,2
gojek,playsotore_driver,tolong perbaiki,0.005352952986148508,topicmodelling,3
gojek,playsotore_driver,driver gojek,0.004649444374051141,topicmodelling,3
gojek,playsotore_driver,pt gojek,0.004435439655590269,topicmodelling,3
gojek,playsotore_driver,aplikasi gojek,0.0036533919164460425,topicmodelling,3
gojek,playsotore_driver,aplikasi error,0.0033921391063262275,topicmodelling,3
gojek,playsotore_driver,orderan masuk,0.003251535668673938,topicmodelling,3
gojek,playsotore_driver,gojek indonesia,0.0031285865235713287,topicmodelling,3
gojek,playsotore_driver,gojek driver,0.002784365362438072,topicmodelling,3
gojek,playsotore_driver,aplikasi bagus,0.0026095656546037856,topicmodelling,3
gojek,playsotore_driver,versi terbaru,0.0023486090891724843,topicmodelling,3
gojek,playsotore_driver,anak bangsa,0.0020876525236473054,topicmodelling,3
gojek,playsotore_driver,driver driver,0.0020835135128110228,topicmodelling,3
gojek,playsotore_driver,tolong gojek,0.002082011650943707,topicmodelling,3
gojek,playsotore_driver,auto bid,0.0018266959582635268,topicmodelling,3
gojek,playsotore_driver,performa turun,0.0018266959582448933,topicmodelling,3
change,twitter,teluk benoa,0.06386670414410867,topicmodelling,1
change,twitter,reklamasi teluk,0.03839933474939924,topicmodelling,1
change,twitter,tolak reklamasi,0.030408078423582802,topicmodelling,1
change,twitter,reklamasi bali,0.010483958905182536,topicmodelling,1
change,twitter,parade budaya,0.008152732018392337,topicmodelling,1
change,twitter,desa adat,0.007851410368848094,topicmodelling,1
change,twitter,benoa bali,0.004939146482479969,topicmodelling,1
change,twitter,reklamasi benoa,0.0039013475350053277,topicmodelling,1
change,twitter,ayo sebarkan,0.003359575112426543,topicmodelling,1
change,twitter,bali indah,0.0033488015880225003,topicmodelling,1
change,twitter,penolakan reklamasi,0.0031669554432494224,topicmodelling,1
change,twitter,rencana reklamasi,0.0030349989664473533,topicmodelling,1
change,twitter,tolak tolak,0.002969020728046334,topicmodelling,1
change,twitter,batalkan reklamasi,0.00230923702857982,topicmodelling,1
change,twitter,lapangan renon,0.002210270986434492,topicmodelling,1
change,twitter,dukung gerakan,0.019050598941473144,topicmodelling,2
change,twitter,rakyat bali,0.015862379682098113,topicmodelling,2
change,twitter,orang bali,0.010394171039888588,topicmodelling,2
change,twitter,tanjung benoa,0.010320615733184015,topicmodelling,2
change,twitter,bali dukung,0.00728731648829168,topicmodelling,2
change,twitter,pro reklamasi,0.004904036072044403,topicmodelling,2
change,twitter,ayo dukung,0.004734906144676827,topicmodelling,2
change,twitter,suara rakyat,0.004653858783108362,topicmodelling,2
change,twitter,harga mati,0.004106051422249505,topicmodelling,2
change,twitter,cek timeline,0.0034028330789980304,topicmodelling,2
change,twitter,net tv,0.0031072821574441674,topicmodelling,2
change,twitter,turun kejalan,0.0031072808077401122,topicmodelling,2
change,twitter,lap renon,0.0029775237829856188,topicmodelling,2
change,twitter,sukses acara,0.002885333431912442,topicmodelling,2
change,twitter,turun jalan,0.002852048663320896,topicmodelling,2
change,twitter,makan nasi,0.010155272611412679,topicmodelling,3
change,twitter,butuh reklamasi,0.009997826524414033,topicmodelling,3
change,twitter,bali bali,0.008503673077067389,topicmodelling,3
